mountain,file_name,direction,state,region,difficulty,ease,vert,trail_count,lift_count,blacklist
49_degrees_north,49_degrees_north.osm,n,WA,west,32.6,11.1,569.0,84,7,
alta,alta.osm,n,UT,west,49.7,10.3,762.0,121,11,snowbird
alyeska,alyeska.osm,e,AK,west,46.1,12.1,876.0,100,8,
andes_tower_hills,andes_tower_hills.osm,n,MN,midwest,18.7,11.2,65.0,19,5,
angel_fire,angel_fire.osm,n,NM,west,32.8,7.2,667.0,79,7,
appalachian_ski_mountain,appalachian_ski_mountain.osm,n,NC,southeast,16.8,13.4,79.0,11,5,
arapahoe_basin,arapahoe_basin.osm,n,CO,west,43.7,11.7,812.0,126,8,
arrowhead,arrowhead.osm,n,NH,northeast,23.7,18.0,147.0,10,2,
aspen,aspen.osm,n,CO,west,39.3,13.6,990.0,105,8,
aspen_highlands,aspen_highlands.osm,n,CO,west,44.6,14.5,1298.0,84,5,
attitash,attitash.osm,n,NH,northeast,29.0,9.7,506.0,80,9,
barker_mountain,barker_mountain.osm,w,ME,northeast,19.0,19.0,121.0,5,0,
bear_creek,bear_creek.osm,w,PA,northeast,20.6,8.6,144.0,23,6,
beaver_creek,beaver_creek.osm,w,CO,west,33.5,9.2,1224.0,161,25,
belleayre,belleayre.osm,n,NY,northeast,29.8,6.6,426.0,89,8,
berkshire_east,berkshire_east.osm,n,MA,northeast,26.8,12.6,287.0,40,6,
big_bear,big_bear.osm,e,PA,northeast,21.4,9.5,179.0,17,6,
big_powderhorn_mountain,big_powderhorn_mountain.osm,n,MI,midwest,27.6,9.4,126.0,48,10,
big_rock,big_rock.osm,e,ME,northeast,24.3,10.7,287.0,33,3,
big_sky,big_sky.osm,n,MT,west,51.5,7.7,1321.0,322,34,big_sky
big_squaw_mountain,big_squaw_mountain.osm,n,ME,northeast,18.2,11.6,174.0,17,2,
"black_mountain,_ME","black_mountain,_ME.osm",w,ME,northeast,23.9,12.7,379.0,28,3,
"black_mountain,_NH","black_mountain,_NH.osm",s,NH,northeast,30.3,10.5,311.0,64,5,
blue_hills,blue_hills.osm,e,MA,northeast,17.5,13.1,96.0,9,4,
blue_mountain,blue_mountain.osm,n,PA,northeast,23.5,8.7,328.0,38,11,
